Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
World,WLD,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,83.1576919555664,83.3608779907227,83.6726989746094,83.9159317016602,84.1862030029297,84.4559631347656,84.7207412719727,85.537712097168,86.2622299194336,86.5723190307617,86.5740585327148,86.8761901855469,87.3861465454102,87.8816986083984,88.3432312011719,88.4752578735352,88.7642593383789,88.6670608520508,89.4507217407227,89.5234985351563,89.5674209594727,89.7832565307617,90.3369369506836,90.6743087768555,90.9933013916016,91.030143737793,91.4474334716797,91.62890625,91.5456619262695,91.7295303344727,91.8839797973633
Afghanistan,AFG,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.9900512695313,..,..,..,..,..,..,..,..,..
Albania,ALB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,99.4351501464844,..,..,..,..,..,..,98.8312072753906,..,..,98.7911911010742,99.2313995361328,..,..,..,..,..,99.3300018310547,..,..
Algeria,DZA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,90.13720703125,..,..,..,91.7796401977539,..,93.7673263549805,..,..,..,..,..,..,..,..,..,97.4265213012695,..,..
American Samoa,ASM,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,72.1944885253906,..,..,..,..,..,..,..,..,..,..,..,..,77.4311294555664,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,72.4959869384766,73.9646987915039,74.9201431274414,74.6631469726563,75.5125732421875,76.3860397338867,77.4460220336914,78.2399368286133,78.9146499633789,79.62744140625,80.1848373413086,81.1405410766602,82.1236190795898,83.0104827880859,83.6424026489258,84.0660095214844,82.648063659668,83.3893280029297,84.0450897216797,81.3358688354492,81.6814498901367,82.0158004760742,85.9053497314453,86.2937774658203,87.1857070922852,83.8176498413086,86.0872497558594,86.6084671020508,82.8308715820313,82.9079437255859,82.9774398803711
Argentina,ARG,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,98.3046417236328,..,..,..,..,..,..,..,..,..,98.9166564941406,..,..,..,..,99.4460830688477,..,..,99.5842895507813,99.2986373901367,99.6282424926758,99.3758697509766,99.5513229370117,99.2967071533203,99.559700012207,99.5027084350586,..,99.5055236816406,..,..
Armenia,ARM,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,99.8072814941406,..,..,..,..,..,..,..,..,..,99.8473968505859,..,..,..,..,..,99.8470230102539,..,..,99.8738174438477
